255653	T:75.7,S:84.0,K:8.3,TR:-33.0,SR:-62.4,KR:29.5
255693	T:77.3,S:83.9,K:6.6,TR:-38.4,SR:-61.3,KR:22.9
255733	T:77.9,S:84.1,K:6.2,TR:-41.6,SR:-60.8,KR:19.2
255773	T:78.6,S:84.5,K:5.9,TR:-47.2,SR:-60.8,KR:13.6
255813	T:78.1,S:84.6,K:6.5,TR:-51.4,SR:-61.0,KR:9.6
255853	T:78.0,S:84.7,K:6.7,TR:-50.2,SR:-61.0,KR:10.8
255893	T:78.0,S:84.7,K:6.7,TR:-49.8,SR:-59.2,KR:9.3
255933	T:77.8,S:84.6,K:6.8,TR:-50.9,SR:-59.9,KR:8.9
255973	T:77.4,S:84.2,K:6.8,TR:-46.9,SR:-59.4,KR:12.4
256013	T:77.3,S:84.1,K:6.8,TR:-45.5,SR:-57.6,KR:12.1
256053	T:77.5,S:83.9,K:6.4,TR:-45.5,SR:-55.8,KR:10.3
256093	T:77.4,S:83.6,K:6.3,TR:-44.5,SR:-54.8,KR:10.3
256133	T:77.5,S:83.9,K:6.4,TR:-45.0,SR:-55.6,KR:10.6
256173	T:77.2,S:83.9,K:6.6,TR:-44.6,SR:-56.2,KR:11.6
256213	T:76.8,S:83.9,K:7.0,TR:-43.9,SR:-56.6,KR:12.7
256253	T:76.5,S:84.1,K:7.6,TR:-43.8,SR:-56.7,KR:12.9
256293	T:76.3,S:83.9,K:7.5,TR:-44.4,SR:-57.1,KR:12.7
256333	T:76.1,S:83.8,K:7.7,TR:-43.9,SR:-57.0,KR:13.1
256373	T:76.0,S:83.7,K:7.7,TR:-44.2,SR:-56.1,KR:11.9
256413	T:75.8,S:83.5,K:7.7,TR:-44.3,SR:-55.7,KR:11.4
256453	T:75.9,S:83.6,K:7.7,TR:-45.3,SR:-55.4,KR:10.2
256493	T:75.8,S:83.7,K:8.0,TR:-44.9,SR:-55.6,KR:10.8
256533	T:75.6,S:83.8,K:8.2,TR:-45.2,SR:-56.1,KR:10.9
256573	T:75.4,S:83.8,K:8.4,TR:-44.4,SR:-55.9,KR:11.5
256613	T:75.4,S:83.8,K:8.3,TR:-44.9,SR:-55.1,KR:10.2
256653	T:75.3,S:83.7,K:8.4,TR:-44.3,SR:-54.4,KR:10.0
256693	T:75.1,S:83.8,K:8.7,TR:-43.3,SR:-53.3,KR:10.0
256733	T:75.2,S:83.9,K:8.8,TR:-43.7,SR:-53.7,KR:10.0
256773	T:75.1,S:84.1,K:9.0,TR:-43.5,SR:-54.5,KR:11.0
256813	T:75.0,S:84.1,K:9.0,TR:-42.9,SR:-54.3,KR:11.3
256853	T:75.0,S:84.1,K:9.1,TR:-42.7,SR:-53.6,KR:10.9
256893	T:75.1,S:84.1,K:9.0,TR:-43.4,SR:-54.1,KR:10.6
256933	T:75.0,S:84.2,K:9.2,TR:-43.1,SR:-54.1,KR:11.0
256973	T:75.2,S:84.3,K:9.1,TR:-44.4,SR:-55.4,KR:11.0
257013	T:75.1,S:84.4,K:9.3,TR:-44.3,SR:-56.2,KR:11.8
257053	T:75.0,S:84.4,K:9.4,TR:-44.3,SR:-55.4,KR:11.0
257093	T:75.0,S:84.4,K:9.3,TR:-44.3,SR:-55.6,KR:11.4
257133	T:75.0,S:84.7,K:9.6,TR:-44.0,SR:-57.1,KR:13.1
257173	T:74.8,S:84.8,K:10.0,TR:-43.0,SR:-57.2,KR:14.3
257213	T:74.7,S:84.9,K:10.2,TR:-42.6,SR:-58.0,KR:15.3
257253	T:74.6,S:85.0,K:10.4,TR:-42.3,SR:-58.5,KR:16.1
257293	T:74.1,S:84.8,K:10.7,TR:-41.2,SR:-58.3,KR:17.1
257333	T:73.6,S:84.7,K:11.1,TR:-40.0,SR:-57.6,KR:17.6
257373	T:72.3,S:84.8,K:12.4,TR:-37.4,SR:-58.0,KR:20.6
257413	T:71.6,S:84.8,K:13.2,TR:-36.4,SR:-58.1,KR:21.7
257453	T:71.4,S:85.0,K:13.6,TR:-37.0,SR:-58.5,KR:21.5
257493	T:69.9,S:84.9,K:15.0,TR:-37.0,SR:-57.8,KR:20.8
257533	T:69.1,S:84.5,K:15.4,TR:-37.6,SR:-55.9,KR:18.3
257573	T:68.9,S:84.4,K:15.6,TR:-38.2,SR:-55.6,KR:17.3
257613	T:68.7,S:84.2,K:15.5,TR:-38.9,SR:-54.0,KR:15.1
257653	T:69.1,S:83.9,K:14.8,TR:-39.5,SR:-52.3,KR:12.9
